LOC,LOC_TOUCHED,AVC,ALA,ACSS,AGE,AOC,NFIX,FIX,WMC,DIT,CBO,RFC,LCOM,NF,ENTROPY,NSMELLS,NR,NAUTH,CHURN,MAX_CHURN,Bugginess
41,95,95.0,95.0,1516.0,15,15,1,1,9,2,7,7,0,1516,0.0,0,1,1,95,95,0
44,100,100.0,100.0,1516.0,15,15,1,1,6,2,8,22,1,1516,0.0,0,1,1,100,100,0
196,523,111.25,121.0,388.25,15,2,3,3,35,2,33,64,0,1516,0.8738,0,4,3,523,438,0
38,302,29.33,65.0,507.67,15,13,3,3,5,5,7,12,3,1516,1.0631,0,3,3,302,190,0
119,214,214.0,214.0,1516.0,15,15,1,1,22,3,9,22,20,1516,0.0,0,1,1,214,214,0
27,108,48.0,51.0,758.5,15,13,2,2,1,3,13,4,0,1516,0.3095,0,2,1,108,102,0
31,93,93.0,93.0,1516.0,15,15,1,1,12,2,5,1,20,1516,0.0,0,1,1,93,93,0
47,107,107.0,107.0,1516.0,15,15,1,1,4,2,15,10,0,1516,0.0,0,1,1,107,107,0
44,104,49.0,50.5,758.5,15,4,2,2,14,2,8,16,0,1516,0.3182,0,2,1,104,98,0
71,224,52.0,63.33,510.33,15,6,3,3,14,1,14,24,10,1516,1.0247,0,3,2,224,157,0
116,443,71.67,109.67,507.67,15,13,3,3,12,6,10,14,4,1516,0.9032,0,3,3,443,322,0
24,69,69.0,69.0,1516.0,15,15,1,1,6,2,7,0,9,1516,0.0,0,1,1,69,69,0
35,74,74.0,74.0,1516.0,15,15,1,1,12,3,1,1,20,1516,0.0,0,1,1,74,74,0
268,495,247.5,247.5,764.0,15,1,2,2,4,5,31,17,1,1516,0.0379,0,2,2,495,493,0
59,104,104.0,104.0,1516.0,15,15,1,1,16,4,2,0,104,1516,0.0,0,1,1,104,104,0
16,44,44.0,44.0,1516.0,15,15,1,1,4,2,1,0,2,1516,0.0,0,1,1,44,44,0
66,112,112.0,112.0,1516.0,15,15,1,1,14,1,4,13,0,1516,0.0,0,1,1,112,112,0
49,121,121.0,121.0,1516.0,15,15,1,1,5,3,16,7,0,1516,0.0,0,1,1,121,121,0
87,151,151.0,151.0,1516.0,15,15,1,1,25,2,4,12,139,1516,0.0,0,1,1,151,151,0
47,92,92.0,92.0,1516.0,15,15,1,1,11,2,3,21,0,1516,0.0,0,1,1,92,92,0
58,178,86.0,87.5,758.5,15,13,1,1,17,1,5,15,0,1516,0.507,0,2,2,178,158,0
132,242,32.0,36.17,258.17,15,13,2,2,21,1,7,26,0,1516,1.4314,0,6,3,242,176,0
116,331,39.29,43.29,221.14,15,1,7,7,25,1,30,63,11,1516,1.1448,0,7,3,331,270,1
